symbol,name,primary_group,secondary_groups,industry_source,concept_source,mapping_confidence,mapping_reason,excluded_noise_tags,evidence_ids,business_group_raw,market_theme_id,market_lane,business_industry_fallback,mapping_source_rank,mapping_source_detail,mapping_asof,mapping_attempts,mapping_status
603669,灵康药业,其它行业,,其它行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
603738,泰晶科技,华为海思,华为海思,,Sina concept constituents 2026-07-31 snapshot,medium,sina_concept_primary,专精特新,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_concept,sina_concept_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
603989,艾华集团,其它行业,,其它行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
605186,健麾信息,自动化/机器人修复,,,Sina concept constituents 2026-07-31 snapshot,medium,business_alias_to_frozen_theme:TH-AUTO,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,其他自动化设备,TH-AUTO,secondary-line,其他自动化设备,cninfo_industry,申银万国行业分类标准|2021-07-30,2021-07-30,cninfo:ok,resolved_theme_unmatched
605287,德才股份,装修装饰,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,装修装饰,,unclassified,装修装饰,cninfo_industry,申银万国行业分类标准(旧)|2021-06-16,2021-06-16,cninfo:ok,resolved_theme_unmatched
688126,沪硅产业,半导体材料,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,半导体材料,,unclassified,半导体材料,cninfo_industry,申银万国行业分类标准(旧)|2020-03-31,2020-03-31,cninfo:ok,resolved_theme_unmatched
688160,步科股份,工控设备,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,工控设备,,unclassified,工控设备,cninfo_industry,申银万国行业分类标准|2021-07-30,2021-07-30,cninfo:ok,resolved_theme_unmatched
688163,赛伦生物,生物制品,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,生物制品,,unclassified,生物制品,cninfo_industry,申银万国行业分类标准(旧)|2021-08-26,2021-08-26,cninfo:ok,resolved_theme_unmatched
688172,燕东微,半导体,,,Sina concept constituents 2026-07-31 snapshot,medium,ths_business_keyword_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,半导体,,unclassified,半导体,ths_business_keyword,分立器件及模拟集成电路、高稳定集成电路及器件的设计、生产及销售，以及提供开放式晶圆制造、封装测试等服务。,2026-07-31,cninfo:error;ths_zyjs:ok,resolved_theme_unmatched
688183,生益电子,印制电路板,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,印制电路板,,unclassified,印制电路板,cninfo_industry,申银万国行业分类标准(旧)|2021-01-29,2021-01-29,cninfo:ok,resolved_theme_unmatched
